Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,lifecycle:transition,org:role,id,variant,variant-index,creator,travel permit number,Permit OrganizationalEntity,RequestedAmount,Permit ID,Amount,Permit ProjectNumber,OriginalAmount,Permit ActivityNumber,DeclarationNumber,Permit RequestedBudget,Permit travel permit number,id,BudgetNumber,Permit BudgetNumber,AdjustedAmount,Permit TaskNumber,Permit id,Automatic Flag
declaration 85006,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,28-02-2018 18:05,Variant 1,1,complete,ADMINISTRATION,st_step 85012_0,Variant 1,1,Fluxicon Disco,travel permit number 85005,organizational unit 65458,133.1020225,travel permit 85004,133.1020225,project 647,133.1020225,UNKNOWN,declaration number 85007,841.6668711,travel permit number 85005,declaration 85006,budget 143695,budget 635,133.1020225,task 648,travel permit 85004,Yes
declaration 20016,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,24-09-2018 15:30,Variant 1,1,complete,EMPLOYEE,st_step 20029_0,Variant 1,1,Fluxicon Disco,travel permit number 20015,organizational unit 65466,388.3445733,travel permit 20014,388.3445733,project 18594,388.3445733,UNKNOWN,declaration number 20017,481.8598952,travel permit number 20015,declaration 20016,budget 146620,budget 1021,388.3445733,task 427,travel permit 20014,Yes
declaration 20016,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,24-09-2018 15:30,Variant 1,1,complete,ADMINISTRATION,st_step 20030_0,Variant 1,1,Fluxicon Disco,travel permit number 20015,organizational unit 65466,388.3445733,travel permit 20014,388.3445733,project 18594,388.3445733,UNKNOWN,declaration number 20017,481.8598952,travel permit number 20015,declaration 20016,budget 146620,budget 1021,388.3445733,task 427,travel permit 20014,Yes
declaration 79166,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,07-02-2018 09:29,Variant 1,1,complete,EMPLOYEE,st_step 79172_0,Variant 1,1,Fluxicon Disco,travel permit number 79165,organizational unit 65458,2216.957606,travel permit 79164,2216.957606,project 5962,2216.957606,UNKNOWN,declaration number 79167,2440.947236,travel permit number 79165,declaration 79166,budget 143829,budget 635,2216.957606,task 427,travel permit 79164,Yes
declaration 79166,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,07-02-2018 09:29,Variant 1,1,complete,ADMINISTRATION,st_step 79171_0,Variant 1,1,Fluxicon Disco,travel permit number 79165,organizational unit 65458,2216.957606,travel permit 79164,2216.957606,project 5962,2216.957606,UNKNOWN,declaration number 79167,2440.947236,travel permit number 79165,declaration 79166,budget 143829,budget 635,2216.957606,task 427,travel permit 79164,Yes
declaration 80700,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,08-01-2018 20:31,Variant 1,1,complete,EMPLOYEE,st_step 80706_0,Variant 1,1,Fluxicon Disco,travel permit number 80699,organizational unit 65458,427.5288294,travel permit 80698,427.5288294,project 8993,427.5288294,UNKNOWN,declaration number 80701,537.0965193,travel permit number 80699,declaration 80700,budget 145124,budget 698,427.5288294,task 427,travel permit 80698,Yes
declaration 80700,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,08-01-2018 20:31,Variant 1,1,complete,ADMINISTRATION,st_step 80704_0,Variant 1,1,Fluxicon Disco,travel permit number 80699,organizational unit 65458,427.5288294,travel permit 80698,427.5288294,project 8993,427.5288294,UNKNOWN,declaration number 80701,537.0965193,travel permit number 80699,declaration 80700,budget 145124,budget 698,427.5288294,task 427,travel permit 80698,Yes
declaration 81750,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,25-01-2018 15:38,Variant 1,1,complete,EMPLOYEE,st_step 81759_0,Variant 1,1,Fluxicon Disco,travel permit number 81748,organizational unit 65458,2487.672086,travel permit 81747,2487.672086,project 80332,2487.672086,UNKNOWN,declaration number 81751,2286.767868,travel permit number 81748,declaration 81750,budget 143970,budget 922,2487.672086,task 427,travel permit 81747,Yes
declaration 81750,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,25-01-2018 15:38,Variant 1,1,complete,ADMINISTRATION,st_step 81760_0,Variant 1,1,Fluxicon Disco,travel permit number 81748,organizational unit 65458,2487.672086,travel permit 81747,2487.672086,project 80332,2487.672086,UNKNOWN,declaration number 81751,2286.767868,travel permit number 81748,declaration 81750,budget 143970,budget 922,2487.672086,task 427,travel permit 81747,Yes
declaration 8232,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-02-2018 15:49,Variant 1,1,complete,EMPLOYEE,st_step 8238_0,Variant 1,1,Fluxicon Disco,travel permit number 8231,organizational unit 65460,110.8753718,travel permit 8230,110.8753718,project 5269,110.8753718,UNKNOWN,declaration number 8233,36.66306677,travel permit number 8231,declaration 8232,budget 145371,budget 1469,110.8753718,task 427,travel permit 8230,Yes
declaration 8232,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-02-2018 15:49,Variant 1,1,complete,ADMINISTRATION,st_step 8237_0,Variant 1,1,Fluxicon Disco,travel permit number 8231,organizational unit 65460,110.8753718,travel permit 8230,110.8753718,project 5269,110.8753718,UNKNOWN,declaration number 8233,36.66306677,travel permit number 8231,declaration 8232,budget 145371,budget 1469,110.8753718,task 427,travel permit 8230,Yes
declaration 31495,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,05-03-2018 09:20,Variant 1,1,complete,EMPLOYEE,st_step 31500_0,Variant 1,1,Fluxicon Disco,travel permit number 31494,organizational unit 65460,1475.013515,travel permit 31493,1475.013515,UNKNOWN,1475.013515,UNKNOWN,declaration number 31496,2203.415214,travel permit number 31494,declaration 31495,budget 143970,budget 1469,1475.013515,UNKNOWN,travel permit 31493,Yes
declaration 31495,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,05-03-2018 09:20,Variant 1,1,complete,ADMINISTRATION,st_step 31502_0,Variant 1,1,Fluxicon Disco,travel permit number 31494,organizational unit 65460,1475.013515,travel permit 31493,1475.013515,UNKNOWN,1475.013515,UNKNOWN,declaration number 31496,2203.415214,travel permit number 31494,declaration 31495,budget 143970,budget 1469,1475.013515,UNKNOWN,travel permit 31493,Yes
declaration 56344,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-02-2018 15:54,Variant 1,1,complete,EMPLOYEE,st_step 56350_0,Variant 1,1,Fluxicon Disco,travel permit number 56343,organizational unit 65460,1215.364652,travel permit 56342,1215.364652,project 5269,1215.364652,UNKNOWN,declaration number 56345,541.6449299,travel permit number 56343,declaration 56344,budget 144194,budget 1469,1215.364652,task 427,travel permit 56342,Yes
declaration 56344,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-02-2018 15:55,Variant 1,1,complete,ADMINISTRATION,st_step 56349_0,Variant 1,1,Fluxicon Disco,travel permit number 56343,organizational unit 65460,1215.364652,travel permit 56342,1215.364652,project 5269,1215.364652,UNKNOWN,declaration number 56345,541.6449299,travel permit number 56343,declaration 56344,budget 144194,budget 1469,1215.364652,task 427,travel permit 56342,Yes
declaration 8222,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-02-2018 15:50,Variant 1,1,complete,EMPLOYEE,st_step 8229_0,Variant 1,1,Fluxicon Disco,travel permit number 8221,organizational unit 65460,108.0324135,travel permit 8220,108.0324135,project 5269,108.0324135,UNKNOWN,declaration number 8223,52.57345424,travel permit number 8221,declaration 8222,budget 144208,budget 1469,108.0324135,task 427,travel permit 8220,Yes
declaration 8222,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-02-2018 15:50,Variant 1,1,complete,ADMINISTRATION,st_step 8227_0,Variant 1,1,Fluxicon Disco,travel permit number 8221,organizational unit 65460,108.0324135,travel permit 8220,108.0324135,project 5269,108.0324135,UNKNOWN,declaration number 8223,52.57345424,travel permit number 8221,declaration 8222,budget 144208,budget 1469,108.0324135,task 427,travel permit 8220,Yes
declaration 14461,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,02-02-2018 08:52,Variant 1,1,complete,EMPLOYEE,st_step 14467_0,Variant 1,1,Fluxicon Disco,travel permit number 14460,organizational unit 65456,336.1464902,travel permit 14459,336.1464902,project 12975,336.1464902,UNKNOWN,declaration number 14462,299.0018009,travel permit number 14460,declaration 14461,budget 144208,budget 1313,336.1464902,task 427,travel permit 14459,Yes
declaration 14461,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,02-02-2018 08:53,Variant 1,1,complete,ADMINISTRATION,st_step 14468_0,Variant 1,1,Fluxicon Disco,travel permit number 14460,organizational unit 65456,336.1464902,travel permit 14459,336.1464902,project 12975,336.1464902,UNKNOWN,declaration number 14462,299.0018009,travel permit number 14460,declaration 14461,budget 144208,budget 1313,336.1464902,task 427,travel permit 14459,Yes
declaration 31285,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,02-02-2018 21:13,Variant 1,1,complete,EMPLOYEE,st_step 31291_0,Variant 1,1,Fluxicon Disco,travel permit number 31284,organizational unit 65456,61.62444137,travel permit 31283,61.62444137,UNKNOWN,61.62444137,UNKNOWN,declaration number 31286,58.36063478,travel permit number 31284,declaration 31285,budget 144208,budget 3832,61.62444137,UNKNOWN,travel permit 31283,Yes
declaration 31285,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,02-02-2018 21:14,Variant 1,1,complete,ADMINISTRATION,st_step 31292_0,Variant 1,1,Fluxicon Disco,travel permit number 31284,organizational unit 65456,61.62444137,travel permit 31283,61.62444137,UNKNOWN,61.62444137,UNKNOWN,declaration number 31286,58.36063478,travel permit number 31284,declaration 31285,budget 144208,budget 3832,61.62444137,UNKNOWN,travel permit 31283,Yes
declaration 22044,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,05-02-2018 13:44,Variant 1,1,complete,EMPLOYEE,st_step 22052_0,Variant 1,1,Fluxicon Disco,travel permit number 22043,organizational unit 65455,166.9921877,travel permit 22042,166.9921877,project 5126,166.9921877,UNKNOWN,declaration number 22045,749.5101431,travel permit number 22043,declaration 22044,budget 144034,budget 1956,166.9921877,task 427,travel permit 22042,Yes
declaration 22044,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,05-02-2018 13:45,Variant 1,1,complete,ADMINISTRATION,st_step 22051_0,Variant 1,1,Fluxicon Disco,travel permit number 22043,organizational unit 65455,166.9921877,travel permit 22042,166.9921877,project 5126,166.9921877,UNKNOWN,declaration number 22045,749.5101431,travel permit number 22043,declaration 22044,budget 144034,budget 1956,166.9921877,task 427,travel permit 22042,Yes
declaration 1729,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,05-02-2018 22:21,Variant 1,1,complete,EMPLOYEE,st_step 1736_0,Variant 1,1,Fluxicon Disco,travel permit number 1727,organizational unit 65456,61.62444137,travel permit 1726,61.62444137,project 1728,61.62444137,UNKNOWN,declaration number 1730,58.36063478,travel permit number 1727,declaration 1729,budget 145294,budget 684,61.62444137,task 427,travel permit 1726,Yes
declaration 1729,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,05-02-2018 22:21,Variant 1,1,complete,ADMINISTRATION,st_step 1738_0,Variant 1,1,Fluxicon Disco,travel permit number 1727,organizational unit 65456,61.62444137,travel permit 1726,61.62444137,project 1728,61.62444137,UNKNOWN,declaration number 1730,58.36063478,travel permit number 1727,declaration 1729,budget 145294,budget 684,61.62444137,task 427,travel permit 1726,Yes
declaration 1731,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,30-01-2018 21:55,Variant 1,1,complete,EMPLOYEE,st_step 1740_0,Variant 1,1,Fluxicon Disco,travel permit number 1727,organizational unit 65456,61.62444137,travel permit 1726,61.62444137,project 1728,61.62444137,UNKNOWN,declaration number 1732,58.36063478,travel permit number 1727,declaration 1731,budget 145617,budget 684,61.62444137,task 427,travel permit 1726,Yes
declaration 1731,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,30-01-2018 21:55,Variant 1,1,complete,ADMINISTRATION,st_step 1741_0,Variant 1,1,Fluxicon Disco,travel permit number 1727,organizational unit 65456,61.62444137,travel permit 1726,61.62444137,project 1728,61.62444137,UNKNOWN,declaration number 1732,58.36063478,travel permit number 1727,declaration 1731,budget 145617,budget 684,61.62444137,task 427,travel permit 1726,Yes
declaration 84457,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-01-2018 14:22,Variant 1,1,complete,EMPLOYEE,st_step 84465_0,Variant 1,1,Fluxicon Disco,travel permit number 84456,organizational unit 65458,902.5475606,travel permit 84455,902.5475606,project 2073,902.5475606,UNKNOWN,declaration number 84458,1871.134854,travel permit number 84456,declaration 84457,budget 144041,budget 1644,902.5475606,task 427,travel permit 84455,Yes
declaration 84457,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-01-2018 14:22,Variant 1,1,complete,ADMINISTRATION,st_step 84464_0,Variant 1,1,Fluxicon Disco,travel permit number 84456,organizational unit 65458,902.5475606,travel permit 84455,902.5475606,project 2073,902.5475606,UNKNOWN,declaration number 84458,1871.134854,travel permit number 84456,declaration 84457,budget 144041,budget 1644,902.5475606,task 427,travel permit 84455,Yes
declaration 78217,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,28-02-2018 15:05,Variant 1,1,complete,EMPLOYEE,st_step 78223_0,Variant 1,1,Fluxicon Disco,travel permit number 78216,organizational unit 65455,159.1862393,travel permit 78215,159.1862393,UNKNOWN,159.1862393,UNKNOWN,declaration number 78218,572.6064574,travel permit number 78216,declaration 78217,budget 145820,budget 4164,159.1862393,UNKNOWN,travel permit 78215,Yes
declaration 78217,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,28-02-2018 15:05,Variant 1,1,complete,ADMINISTRATION,st_step 78222_0,Variant 1,1,Fluxicon Disco,travel permit number 78216,organizational unit 65455,159.1862393,travel permit 78215,159.1862393,UNKNOWN,159.1862393,UNKNOWN,declaration number 78218,572.6064574,travel permit number 78216,declaration 78217,budget 145820,budget 4164,159.1862393,UNKNOWN,travel permit 78215,Yes
declaration 79297,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,16-10-2018 15:41,Variant 1,1,complete,EMPLOYEE,st_step 79303_0,Variant 1,1,Fluxicon Disco,travel permit number 79296,organizational unit 65458,430.0087116,travel permit 79295,430.0087116,UNKNOWN,430.0087116,UNKNOWN,declaration number 79298,557.0061032,travel permit number 79296,declaration 79297,budget 147437,budget 922,430.0087116,UNKNOWN,travel permit 79295,Yes
declaration 79297,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,16-10-2018 15:41,Variant 1,1,complete,ADMINISTRATION,st_step 79302_0,Variant 1,1,Fluxicon Disco,travel permit number 79296,organizational unit 65458,430.0087116,travel permit 79295,430.0087116,UNKNOWN,430.0087116,UNKNOWN,declaration number 79298,557.0061032,travel permit number 79296,declaration 79297,budget 147437,budget 922,430.0087116,UNKNOWN,travel permit 79295,Yes
declaration 78681,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,21-03-2018 16:53,Variant 1,1,complete,EMPLOYEE,st_step 78687_0,Variant 1,1,Fluxicon Disco,travel permit number 78680,organizational unit 65458,315.2109525,travel permit 78679,315.2109525,project 7047,315.2109525,UNKNOWN,declaration number 78682,230.6245011,travel permit number 78680,declaration 78681,budget 145280,budget 698,315.2109525,task 427,travel permit 78679,Yes
declaration 78681,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,21-03-2018 16:53,Variant 1,1,complete,ADMINISTRATION,st_step 78685_0,Variant 1,1,Fluxicon Disco,travel permit number 78680,organizational unit 65458,315.2109525,travel permit 78679,315.2109525,project 7047,315.2109525,UNKNOWN,declaration number 78682,230.6245011,travel permit number 78680,declaration 78681,budget 145280,budget 698,315.2109525,task 427,travel permit 78679,Yes
declaration 78240,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-01-2018 10:42,Variant 1,1,complete,EMPLOYEE,st_step 78250_0,Variant 1,1,Fluxicon Disco,travel permit number 78235,organizational unit 65458,26.14607247,travel permit 78234,26.14607247,project 6266,26.14607247,UNKNOWN,declaration number 78241,753.7825124,travel permit number 78235,declaration 78240,budget 145213,budget 635,26.14607247,task 427,travel permit 78234,Yes
declaration 78240,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-01-2018 10:43,Variant 1,1,complete,ADMINISTRATION,st_step 78251_0,Variant 1,1,Fluxicon Disco,travel permit number 78235,organizational unit 65458,26.14607247,travel permit 78234,26.14607247,project 6266,26.14607247,UNKNOWN,declaration number 78241,753.7825124,travel permit number 78235,declaration 78240,budget 145213,budget 635,26.14607247,task 427,travel permit 78234,Yes
declaration 78238,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,15-01-2018 10:55,Variant 1,1,complete,EMPLOYEE,st_step 78247_0,Variant 1,1,Fluxicon Disco,travel permit number 78235,organizational unit 65458,21.6207907,travel permit 78234,21.6207907,project 6266,21.6207907,UNKNOWN,declaration number 78239,753.7825124,travel permit number 78235,declaration 78238,budget 145213,budget 635,21.6207907,task 427,travel permit 78234,Yes
declaration 78238,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,15-01-2018 10:56,Variant 1,1,complete,ADMINISTRATION,st_step 78248_0,Variant 1,1,Fluxicon Disco,travel permit number 78235,organizational unit 65458,21.6207907,travel permit 78234,21.6207907,project 6266,21.6207907,UNKNOWN,declaration number 78239,753.7825124,travel permit number 78235,declaration 78238,budget 145213,budget 635,21.6207907,task 427,travel permit 78234,Yes
declaration 79326,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,14-04-2018 15:52,Variant 1,1,complete,EMPLOYEE,st_step 79330_0,Variant 1,1,Fluxicon Disco,travel permit number 79324,organizational unit 65458,633.8131333,travel permit 79323,633.8131333,UNKNOWN,633.8131333,activity 79325,declaration number 79327,1015.003238,travel permit number 79324,declaration 79326,budget 143992,budget 1644,633.8131333,UNKNOWN,travel permit 79323,Yes
declaration 79326,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,14-04-2018 15:52,Variant 1,1,complete,ADMINISTRATION,st_step 79331_0,Variant 1,1,Fluxicon Disco,travel permit number 79324,organizational unit 65458,633.8131333,travel permit 79323,633.8131333,UNKNOWN,633.8131333,activity 79325,declaration number 79327,1015.003238,travel permit number 79324,declaration 79326,budget 143992,budget 1644,633.8131333,UNKNOWN,travel permit 79323,Yes
declaration 78732,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,19-03-2018 09:27,Variant 1,1,complete,EMPLOYEE,st_step 78736_0,Variant 1,1,Fluxicon Disco,travel permit number 78731,organizational unit 65458,169.0027576,travel permit 78730,169.0027576,UNKNOWN,169.0027576,UNKNOWN,declaration number 78733,430.8916786,travel permit number 78731,declaration 78732,budget 143992,budget 1644,169.0027576,UNKNOWN,travel permit 78730,Yes
declaration 78732,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,19-03-2018 09:27,Variant 1,1,complete,ADMINISTRATION,st_step 78737_0,Variant 1,1,Fluxicon Disco,travel permit number 78731,organizational unit 65458,169.0027576,travel permit 78730,169.0027576,UNKNOWN,169.0027576,UNKNOWN,declaration number 78733,430.8916786,travel permit number 78731,declaration 78732,budget 143992,budget 1644,169.0027576,UNKNOWN,travel permit 78730,Yes
declaration 79343,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,08-01-2018 08:02,Variant 1,1,complete,EMPLOYEE,st_step 79349_0,Variant 1,1,Fluxicon Disco,travel permit number 79342,organizational unit 65458,130.0648809,travel permit 79341,130.0648809,UNKNOWN,130.0648809,UNKNOWN,declaration number 79344,138.9087667,travel permit number 79342,declaration 79343,budget 144043,budget 475,130.0648809,UNKNOWN,travel permit 79341,Yes
declaration 79343,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,08-01-2018 08:03,Variant 1,1,complete,ADMINISTRATION,st_step 79348_0,Variant 1,1,Fluxicon Disco,travel permit number 79342,organizational unit 65458,130.0648809,travel permit 79341,130.0648809,UNKNOWN,130.0648809,UNKNOWN,declaration number 79344,138.9087667,travel permit number 79342,declaration 79343,budget 144043,budget 475,130.0648809,UNKNOWN,travel permit 79341,Yes
declaration 44032,Declaration SUBMITTED by EMPLOYEE,STAFF MEMBER,19-03-2018 09:34,Variant 1,1,complete,EMPLOYEE,st_step 44039_0,Variant 1,1,Fluxicon Disco,travel permit number 44031,organizational unit 65459,197.9483724,travel permit 44030,197.9483724,project 24368,197.9483724,UNKNOWN,declaration number 44033,396.5135274,travel permit number 44031,declaration 44032,budget 144009,budget 1939,197.9483724,task 427,travel permit 44030,Yes
declaration 44032,Declaration APPROVED by ADMINISTRATION,STAFF MEMBER,19-03-2018 09:34,Variant 1,1,complete,ADMINISTRATION,st_step 44038_0,Variant 1,1,Fluxicon Disco,travel permit number 44031,organizational unit 65459,197.9483724,travel permit 44030,197.9483724,project 24368,197.9483724,UNKNOWN,declaration number 44033,396.5135274,travel permit number 44031,declaration 44032,budget 144009,budget 1939,197.9483724,task 427,travel permit 44030,Yes
